
2024-01-04 21:14:23 INFO  Formula1Scraper:15 - Start scraping fromhttps://www.formula1.com/en/results.html/2023/races/1226/abu-dhabi/race-result.html
2024-01-06 10:05:17 INFO  DriverScraper:24 - OK
2024-01-06 10:06:38 INFO  DriverScraper:24 - OK
2024-01-06 10:07:23 INFO  DriverScraper:24 - OK
2024-01-06 10:08:14 INFO  DriverScraper:24 - OK
2024-01-06 10:09:34 INFO  DriverScraper:24 - OK
2024-01-06 10:10:15 INFO  DriverScraper:24 - OK
2024-01-06 10:12:15 INFO  DriverScraper:24 - OK
2024-01-06 10:13:23 INFO  DriverScraper:24 - OK
2024-01-06 10:15:47 INFO  DriverScraper:24 - OK
2024-01-06 10:16:08 INFO  DriverScraper:24 - OK
2024-01-06 10:17:45 INFO  DriverScraper:24 - OK
2024-01-06 10:17:57 INFO  DriverScraper:24 - OK
2024-01-06 10:18:07 INFO  DriverScraper:24 - OK
2024-01-06 10:19:13 INFO  DriverScraper:24 - OK
2024-01-06 10:20:59 INFO  DriverScraper:24 - OK
2024-01-06 10:27:22 INFO  DriverScraper:24 - OK
2024-01-06 10:33:06 INFO  DriverScraper:24 - OK
2024-01-06 10:35:25 INFO  DriverScraper:24 - OK
2024-01-06 10:38:47 INFO  DriverScraper:24 - OK
2024-01-06 10:43:22 INFO  DriverScraper:24 - OK
2024-01-06 10:45:08 INFO  DriverScraper:24 - OK
2024-01-06 10:46:24 INFO  DriverScraper:24 - OK
2024-01-06 10:50:19 INFO  DriverScraper:24 - OK
2024-01-06 10:50:42 INFO  DriverScraper:24 - OK
2024-01-06 10:56:13 INFO  DriverScraper:24 - OK
2024-01-06 10:57:44 INFO  DriverScraper:24 - OK
2024-01-06 11:00:24 INFO  DriverScraper:24 - OK
2024-01-06 11:00:49 INFO  DriverScraper:24 - OK
2024-01-06 11:01:47 INFO  DriverScraper:24 - OK
2024-01-06 11:03:43 INFO  DriverScraper:24 - OK
2024-01-06 11:04:03 INFO  DriverScraper:24 - OK
2024-01-06 11:09:06 INFO  DriverScraper:24 - OK
2024-01-06 11:14:40 INFO  DriverScraper:24 - OK
2024-01-06 11:15:51 INFO  DriverScraper:24 - OK
2024-01-06 11:17:25 INFO  DriverScraper:24 - OK
2024-01-06 11:21:39 INFO  DriverScraper:24 - OK
2024-01-06 11:22:16 INFO  DriverScraper:24 - OK
2024-01-06 11:23:58 INFO  DriverScraper:24 - OK
2024-01-06 11:24:21 INFO  DriverScraper:24 - OK
2024-01-06 11:24:53 INFO  DriverScraper:24 - OK
2024-01-06 11:25:56 INFO  DriverScraper:24 - OK
2024-01-06 11:26:15 INFO  DriverScraper:24 - OK
2024-01-06 11:26:55 INFO  DriverScraper:24 - OK
2024-01-06 11:27:30 INFO  DriverScraper:24 - OK
2024-01-06 11:27:49 INFO  DriverScraper:24 - OK
2024-01-06 11:33:40 INFO  DriverScraper:24 - OK
2024-01-06 11:33:57 INFO  DriverScraper:24 - OK
2024-01-06 11:34:09 INFO  DriverScraper:24 - OK
2024-01-06 11:34:18 INFO  DriverScraper:24 - OK
2024-01-06 11:34:43 INFO  DriverScraper:24 - OK
2024-01-06 11:34:56 INFO  DriverScraper:24 - OK
2024-01-06 11:36:15 INFO  DriverScraper:24 - OK
2024-01-06 11:36:50 INFO  DriverScraper:24 - OK
2024-01-06 11:38:36 INFO  DriverScraper:24 - OK
2024-01-06 11:39:20 INFO  DriverScraper:24 - OK
2024-01-06 11:48:00 INFO  DriverScraper:24 - OK
2024-01-06 11:48:18 INFO  DriverScraper:24 - OK
2024-01-06 11:48:31 INFO  DriverScraper:24 - OK
2024-01-06 12:04:50 INFO  DriverScraper:24 - OK
2024-01-06 12:48:00 INFO  DriverScraper:24 - OK
2024-01-06 13:41:41 INFO  DriverScraper:24 - OK
2024-01-06 13:44:43 INFO  DriverScraper:24 - OK
2024-01-06 13:45:16 INFO  DriverScraper:24 - OK
2024-01-06 13:46:25 INFO  DriverScraper:24 - OK
2024-01-06 13:47:18 INFO  DriverScraper:24 - OK
2024-01-06 13:47:51 INFO  DriverScraper:24 - OK
2024-01-06 13:48:19 INFO  DriverScraper:24 - OK
2024-01-06 13:48:45 INFO  DriverScraper:24 - OK
2024-01-06 13:54:16 INFO  DriverScraper:24 - OK
2024-01-06 13:54:45 INFO  DriverScraper:24 - OK
2024-01-06 13:55:34 INFO  DriverScraper:24 - OK
2024-01-06 13:56:07 INFO  DriverScraper:24 - OK
2024-01-06 14:00:09 INFO  DriverScraper:24 - OK
2024-01-06 14:00:12 INFO  DriverScraper:24 - OK
2024-01-06 14:01:05 INFO  DriverScraper:24 - OK
2024-01-06 14:01:07 INFO  DriverScraper:24 - OK
2024-01-06 14:04:06 INFO  DriverScraper:24 - OK
2024-01-06 14:04:08 INFO  DriverScraper:24 - OK
2024-01-06 14:04:10 INFO  DriverScraper:24 - OK
2024-01-06 14:07:50 INFO  DriverScraper:24 - OK
2024-01-06 14:07:52 INFO  DriverScraper:24 - OK
2024-01-06 14:07:55 INFO  DriverScraper:24 - OK
2024-01-06 14:09:04 INFO  DriverScraper:24 - OK
2024-01-06 14:11:12 INFO  DriverScraper:24 - OK
2024-01-06 14:11:14 INFO  DriverScraper:24 - OK
2024-01-06 14:11:15 INFO  DriverScraper:24 - OK
2024-01-06 14:11:17 INFO  DriverScraper:24 - OK
2024-01-06 14:11:19 INFO  DriverScraper:24 - OK
2024-01-06 14:11:20 INFO  DriverScraper:24 - OK
2024-01-06 14:11:22 INFO  DriverScraper:24 - OK
2024-01-06 14:11:23 INFO  DriverScraper:24 - OK
2024-01-06 14:11:24 INFO  DriverScraper:24 - OK
2024-01-06 14:11:25 INFO  DriverScraper:24 - OK
2024-01-06 14:11:26 INFO  DriverScraper:24 - OK
2024-01-06 14:11:27 INFO  DriverScraper:24 - OK
2024-01-06 14:11:28 INFO  DriverScraper:24 - OK
2024-01-06 14:15:57 INFO  DriverScraper:24 - OK
2024-01-06 14:15:59 INFO  DriverScraper:24 - OK
2024-01-06 14:16:01 INFO  DriverScraper:24 - OK
2024-01-06 14:18:07 INFO  DriverScraper:24 - OK
2024-01-06 14:18:09 INFO  DriverScraper:24 - OK
2024-01-06 14:18:11 INFO  DriverScraper:24 - OK
2024-01-06 14:19:38 INFO  DriverScraper:24 - OK
2024-01-06 14:19:40 INFO  DriverScraper:24 - OK
2024-01-06 14:19:41 INFO  DriverScraper:24 - OK
2024-01-06 16:30:36 INFO  DriverScraper:24 - OK
2024-01-06 16:30:39 INFO  DriverScraper:24 - OK
2024-01-06 16:30:41 INFO  DriverScraper:24 - OK
2024-01-06 16:34:19 INFO  DriverScraper:24 - OK
2024-01-06 16:34:22 INFO  DriverScraper:24 - OK
2024-01-06 16:34:49 INFO  DriverScraper:24 - OK
2024-01-06 16:56:42 INFO  DriverScraper:24 - OK
2024-01-06 16:57:15 INFO  DriverScraper:24 - OK
2024-01-06 16:57:45 INFO  DriverScraper:24 - OK
2024-01-06 16:58:29 INFO  DriverScraper:24 - OK
2024-01-06 17:01:45 INFO  DriverScraper:24 - OK
2024-01-06 17:01:55 INFO  DriverScraper:24 - OK
2024-01-06 17:02:20 INFO  DriverScraper:24 - OK
2024-01-06 17:02:46 INFO  DriverScraper:24 - OK
2024-01-06 17:03:54 INFO  DriverScraper:24 - OK
2024-01-06 17:05:30 INFO  DriverScraper:24 - OK
2024-01-06 17:05:47 INFO  Formula1Scraper:15 - Start scraping from https://www.formula1.com/en/results.html/2023/races/1226/abu-dhabi/race-result.html
2024-01-06 17:05:47 INFO  Formula1Scraper:20 - Git.pl
2024-01-06 17:07:20 INFO  Formula1Scraper:15 - Start scraping from https://www.formula1.com/en/results.html/2023/races.html
2024-01-06 17:07:20 INFO  Formula1Scraper:20 - Git.pl
2024-01-06 17:08:35 INFO  Formula1Scraper:15 - Start scraping from https://www.formula1.com/en/results.html/2023/races.html
2024-01-06 17:08:35 INFO  Formula1Scraper:20 - Git.pl
2024-01-06 17:08:47 INFO  Formula1Scraper:15 - Start scraping from https://www.formula1.com/en/results.html/2023/races.html
2024-01-06 17:08:47 INFO  Formula1Scraper:20 - Git.pl
2024-01-06 17:08:59 INFO  Formula1Scraper:15 - Start scraping from https://www.formula1.com/en/results.html/2023/races.html
2024-01-06 17:09:00 INFO  Formula1Scraper:20 - Git.pl
2024-01-06 17:10:58 INFO  RacesScraper:19 - Start scraping from https://www.formula1.com/en/results.html/2023/races.html
2024-01-06 17:10:58 INFO  RacesScraper:24 - OK
2024-01-06 17:16:23 INFO  RacesScraper:20 - Start scraping from https://www.formula1.com/en/results.html/2023/races.html
2024-01-06 17:16:23 INFO  RacesScraper:26 - OK
2024-01-06 17:16:56 INFO  RacesScraper:20 - Start scraping from https://www.formula1.com/en/results.html/2023/races.html
2024-01-06 17:16:56 INFO  RacesScraper:26 - OK
2024-01-06 17:20:17 INFO  DriverScraper:24 - OK
2024-01-06 17:22:18 INFO  DriverScraper:24 - OK
2024-01-06 17:22:44 INFO  DriverScraper:24 - OK
2024-01-06 17:26:06 INFO  DriverScraper:24 - OK
2024-01-06 17:26:07 INFO  RacesScraper:19 - Start scraping from https://www.formula1.com/en/results.html/2023/races.html
2024-01-06 17:26:07 INFO  RacesScraper:24 - OK
2024-01-06 17:28:29 INFO  DriverScraper:24 - OK
2024-01-06 17:33:20 INFO  DriverScraper:24 - OK
2024-01-06 17:35:53 INFO  DriverScraper:24 - OK
2024-01-06 17:39:10 INFO  DriverScraper:24 - OK
2024-01-06 17:45:12 INFO  DriverScraper:24 - OK
2024-01-06 17:45:35 INFO  DriverScraper:24 - OK
2024-01-06 17:46:44 INFO  DriverScraper:24 - OK
2024-01-06 17:46:45 INFO  DriverScraper:24 - OK
2024-01-06 17:46:47 INFO  DriverScraper:24 - OK
2024-01-06 17:47:15 INFO  DriverScraper:24 - OK
2024-01-06 17:47:16 INFO  DriverScraper:24 - OK
2024-01-06 17:47:19 INFO  DriverScraper:24 - OK
2024-01-06 17:47:20 INFO  DriverScraper:24 - OK
2024-01-06 17:47:22 INFO  DriverScraper:24 - OK
2024-01-06 17:47:46 INFO  DriverScraper:24 - OK
2024-01-06 17:47:48 INFO  DriverScraper:24 - OK
2024-01-06 17:47:49 INFO  DriverScraper:24 - OK
2024-01-06 17:47:52 INFO  DriverScraper:24 - OK
2024-01-06 17:47:54 INFO  DriverScraper:24 - OK
2024-01-06 17:47:56 INFO  DriverScraper:24 - OK
2024-01-06 17:47:58 INFO  DriverScraper:24 - OK
2024-01-06 17:48:00 INFO  DriverScraper:24 - OK
2024-01-06 17:48:02 INFO  DriverScraper:24 - OK
2024-01-06 17:48:03 INFO  DriverScraper:24 - OK
2024-01-06 17:48:05 INFO  DriverScraper:24 - OK
2024-01-06 17:48:49 INFO  DriverScraper:24 - OK
2024-01-06 17:48:51 INFO  DriverScraper:24 - OK
2024-01-06 17:49:00 INFO  DriverScraper:24 - OK
2024-01-06 17:49:03 INFO  DriverScraper:24 - OK
2024-01-06 17:49:05 INFO  DriverScraper:24 - OK
2024-01-06 17:52:37 INFO  DriverScraper:24 - OK
2024-01-06 17:52:41 INFO  DriverScraper:24 - OK
2024-01-06 17:52:43 INFO  DriverScraper:24 - OK
2024-01-06 17:52:43 INFO  DriverScraper:24 - OK
2024-01-06 17:52:44 INFO  DriverScraper:24 - OK
2024-01-06 17:53:00 INFO  DriverScraper:24 - OK
2024-01-06 17:53:02 INFO  DriverScraper:24 - OK
2024-01-06 17:53:06 INFO  DriverScraper:24 - OK
2024-01-06 17:53:07 INFO  DriverScraper:24 - OK
2024-01-06 17:53:09 INFO  DriverScraper:24 - OK
2024-01-06 17:53:10 INFO  DriverScraper:24 - OK
2024-01-06 17:53:11 INFO  DriverScraper:24 - OK
2024-01-06 17:53:12 INFO  DriverScraper:24 - OK
2024-01-06 17:53:13 INFO  DriverScraper:24 - OK
2024-01-06 17:53:14 INFO  DriverScraper:24 - OK
2024-01-06 17:53:16 INFO  DriverScraper:24 - OK
2024-01-06 17:53:21 INFO  DriverScraper:24 - OK
2024-01-06 17:53:23 INFO  DriverScraper:24 - OK
2024-01-06 17:53:24 INFO  DriverScraper:24 - OK
2024-01-06 17:53:25 INFO  DriverScraper:24 - OK
2024-01-06 17:53:28 INFO  DriverScraper:24 - OK
2024-01-06 17:53:29 INFO  DriverScraper:24 - OK
2024-01-06 17:53:30 INFO  DriverScraper:24 - OK
2024-01-06 17:53:30 INFO  DriverScraper:24 - OK
2024-01-06 17:53:32 INFO  DriverScraper:24 - OK
2024-01-06 17:53:33 INFO  DriverScraper:24 - OK
2024-01-06 17:57:24 INFO  DriverScraper:24 - OK
2024-01-06 17:57:26 INFO  DriverScraper:24 - OK
2024-01-06 17:57:27 INFO  DriverScraper:24 - OK
2024-01-06 17:57:28 INFO  DriverScraper:24 - OK
2024-01-06 17:57:30 INFO  DriverScraper:24 - OK
2024-01-06 17:57:31 INFO  DriverScraper:24 - OK
2024-01-06 17:57:33 INFO  DriverScraper:24 - OK
2024-01-06 17:57:34 INFO  DriverScraper:24 - OK
2024-01-06 17:57:35 INFO  DriverScraper:24 - OK
2024-01-06 17:57:36 INFO  DriverScraper:24 - OK
2024-01-06 17:57:37 INFO  DriverScraper:24 - OK
2024-01-06 17:57:38 INFO  DriverScraper:24 - OK
2024-01-06 17:57:39 INFO  DriverScraper:24 - OK
2024-01-06 17:57:40 INFO  DriverScraper:24 - OK
2024-01-06 17:57:42 INFO  DriverScraper:24 - OK
2024-01-06 17:57:43 INFO  DriverScraper:24 - OK
2024-01-06 17:59:26 INFO  DriverScraper:24 - OK
2024-01-06 17:59:28 INFO  DriverScraper:24 - OK
